ts,appid,name,players
2025-02-25T00:00:00Z,2443720,Concord,1
2025-02-26T00:00:00Z,2443720,Concord,1
2025-03-02T00:00:00Z,2443720,Concord,1
2025-03-03T00:00:00Z,2443720,Concord,1
2025-03-04T00:00:00Z,2443720,Concord,1
2025-03-09T00:00:00Z,2443720,Concord,1
2025-03-20T00:00:00Z,3159330,Assassin's Creed Shadows,41412
2025-03-21T00:00:00Z,3159330,Assassin's Creed Shadows,47616
2025-03-22T00:00:00Z,3159330,Assassin's Creed Shadows,60086
2025-03-23T00:00:00Z,2443720,Concord,1
2025-03-23T00:00:00Z,3159330,Assassin's Creed Shadows,64825
2025-03-24T00:00:00Z,3159330,Assassin's Creed Shadows,44106
2025-03-25T00:00:00Z,3159330,Assassin's Creed Shadows,40339
2025-03-26T00:00:00Z,2443720,Concord,1
2025-03-26T00:00:00Z,3159330,Assassin's Creed Shadows,37459
2025-03-27T00:00:00Z,3159330,Assassin's Creed Shadows,34449
2025-03-28T00:00:00Z,3159330,Assassin's Creed Shadows,35315
2025-03-29T00:00:00Z,3159330,Assassin's Creed Shadows,44515
2025-03-30T00:00:00Z,3159330,Assassin's Creed Shadows,46125
2025-03-31T00:00:00Z,3159330,Assassin's Creed Shadows,30502
2025-04-01T00:00:00Z,3159330,Assassin's Creed Shadows,27715
2025-04-02T00:00:00Z,3159330,Assassin's Creed Shadows,25270
2025-04-03T00:00:00Z,1934570,South of Midnight,491
2025-04-03T00:00:00Z,2443720,Concord,1
2025-04-03T00:00:00Z,3159330,Assassin's Creed Shadows,23917
2025-04-04T00:00:00Z,1934570,South of Midnight,496
2025-04-04T00:00:00Z,3159330,Assassin's Creed Shadows,23044
2025-04-05T00:00:00Z,1934570,South of Midnight,566
2025-04-05T00:00:00Z,3159330,Assassin's Creed Shadows,28693
2025-04-06T00:00:00Z,1934570,South of Midnight,532
2025-04-06T00:00:00Z,2443720,Concord,1
2025-04-06T00:00:00Z,3159330,Assassin's Creed Shadows,30220
2025-04-07T00:00:00Z,1934570,South of Midnight,452
2025-04-07T00:00:00Z,2443720,Concord,1
2025-04-07T00:00:00Z,3159330,Assassin's Creed Shadows,19289
2025-04-08T00:00:00Z,1934570,South of Midnight,1262
2025-04-08T00:00:00Z,2443720,Concord,1
2025-04-08T00:00:00Z,3159330,Assassin's Creed Shadows,17239
2025-04-09T00:00:00Z,1934570,South of Midnight,1411
2025-04-09T00:00:00Z,3159330,Assassin's Creed Shadows,17544
2025-04-10T00:00:00Z,1934570,South of Midnight,1251
2025-04-10T00:00:00Z,3159330,Assassin's Creed Shadows,17023
2025-04-11T00:00:00Z,1934570,South of Midnight,1208
2025-04-11T00:00:00Z,3159330,Assassin's Creed Shadows,17459
2025-04-12T00:00:00Z,1934570,South of Midnight,1354
2025-04-12T00:00:00Z,2443720,Concord,1
2025-04-12T00:00:00Z,3159330,Assassin's Creed Shadows,22288
2025-04-13T00:00:00Z,1934570,South of Midnight,1438
2025-04-13T00:00:00Z,2443720,Concord,1
2025-04-13T00:00:00Z,3159330,Assassin's Creed Shadows,23167
2025-04-14T00:00:00Z,1934570,South of Midnight,1307
2025-04-14T00:00:00Z,3159330,Assassin's Creed Shadows,14737
2025-04-15T00:00:00Z,1934570,South of Midnight,1011
2025-04-15T00:00:00Z,3159330,Assassin's Creed Shadows,13848
2025-04-16T00:00:00Z,1934570,South of Midnight,946
2025-04-16T00:00:00Z,3159330,Assassin's Creed Shadows,12639
2025-04-17T00:00:00Z,1934570,South of Midnight,757
2025-04-17T00:00:00Z,3159330,Assassin's Creed Shadows,13255
2025-04-18T00:00:00Z,1934570,South of Midnight,802
2025-04-18T00:00:00Z,3159330,Assassin's Creed Shadows,15418
2025-04-19T00:00:00Z,1934570,South of Midnight,912
2025-04-19T00:00:00Z,3159330,Assassin's Creed Shadows,16356
2025-04-20T00:00:00Z,1934570,South of Midnight,917
2025-04-20T00:00:00Z,2443720,Concord,1
2025-04-20T00:00:00Z,3159330,Assassin's Creed Shadows,16093
2025-04-21T00:00:00Z,1934570,South of Midnight,823
2025-04-21T00:00:00Z,3159330,Assassin's Creed Shadows,14381
2025-04-22T00:00:00Z,1934570,South of Midnight,685
2025-04-22T00:00:00Z,3159330,Assassin's Creed Shadows,10565
2025-04-23T00:00:00Z,1934570,South of Midnight,568
2025-04-23T00:00:00Z,2443720,Concord,1
2025-04-23T00:00:00Z,3159330,Assassin's Creed Shadows,9506
2025-04-24T00:00:00Z,1934570,South of Midnight,534
2025-04-24T00:00:00Z,3159330,Assassin's Creed Shadows,9418
2025-04-25T00:00:00Z,1934570,South of Midnight,458
2025-04-25T00:00:00Z,3159330,Assassin's Creed Shadows,9625
2025-04-26T00:00:00Z,1934570,South of Midnight,569
2025-04-26T00:00:00Z,2443720,Concord,1
2025-04-26T00:00:00Z,3159330,Assassin's Creed Shadows,11824
2025-04-27T00:00:00Z,1934570,South of Midnight,572
2025-04-27T00:00:00Z,3159330,Assassin's Creed Shadows,12146
2025-04-28T00:00:00Z,1934570,South of Midnight,548
2025-04-28T00:00:00Z,2443720,Concord,1
2025-04-28T00:00:00Z,3159330,Assassin's Creed Shadows,7664
2025-04-29T00:00:00Z,1934570,South of Midnight,464
2025-04-29T00:00:00Z,3159330,Assassin's Creed Shadows,7064
2025-04-30T00:00:00Z,1934570,South of Midnight,378
2025-04-30T00:00:00Z,3159330,Assassin's Creed Shadows,6536
2025-05-01T00:00:00Z,1934570,South of Midnight,346
2025-05-01T00:00:00Z,3159330,Assassin's Creed Shadows,8653
2025-05-02T00:00:00Z,1934570,South of Midnight,354
2025-05-02T00:00:00Z,3159330,Assassin's Creed Shadows,7716
2025-05-03T00:00:00Z,1934570,South of Midnight,378
2025-05-03T00:00:00Z,3159330,Assassin's Creed Shadows,9182
2025-05-04T00:00:00Z,1934570,South of Midnight,428
2025-05-04T00:00:00Z,3159330,Assassin's Creed Shadows,10076
2025-05-05T00:00:00Z,1934570,South of Midnight,396
2025-05-05T00:00:00Z,3159330,Assassin's Creed Shadows,6798
2025-05-06T00:00:00Z,1934570,South of Midnight,297
2025-05-06T00:00:00Z,2443720,Concord,1
2025-05-06T00:00:00Z,3159330,Assassin's Creed Shadows,5766
2025-05-07T00:00:00Z,1934570,South of Midnight,291
2025-05-07T00:00:00Z,3159330,Assassin's Creed Shadows,5761
2025-05-08T00:00:00Z,1934570,South of Midnight,259
2025-05-08T00:00:00Z,3159330,Assassin's Creed Shadows,6314
2025-05-09T00:00:00Z,1934570,South of Midnight,248
2025-05-09T00:00:00Z,3159330,Assassin's Creed Shadows,6392
2025-05-10T00:00:00Z,1934570,South of Midnight,328
2025-05-10T00:00:00Z,3159330,Assassin's Creed Shadows,7704
2025-05-11T00:00:00Z,1934570,South of Midnight,330
2025-05-11T00:00:00Z,3159330,Assassin's Creed Shadows,7727
2025-05-12T00:00:00Z,1934570,South of Midnight,278
2025-05-12T00:00:00Z,3159330,Assassin's Creed Shadows,5131
2025-05-13T00:00:00Z,1934570,South of Midnight,233
2025-05-13T00:00:00Z,3159330,Assassin's Creed Shadows,4910
2025-05-14T00:00:00Z,1934570,South of Midnight,224
2025-05-14T00:00:00Z,3159330,Assassin's Creed Shadows,4654
2025-05-15T00:00:00Z,1934570,South of Midnight,194
2025-05-15T00:00:00Z,2443720,Concord,1
2025-05-15T00:00:00Z,3159330,Assassin's Creed Shadows,4806
2025-05-16T00:00:00Z,1934570,South of Midnight,186
2025-05-16T00:00:00Z,3159330,Assassin's Creed Shadows,4820
2025-05-17T00:00:00Z,1934570,South of Midnight,238
2025-05-17T00:00:00Z,3159330,Assassin's Creed Shadows,6088
2025-05-18T00:00:00Z,1934570,South of Midnight,257
2025-05-18T00:00:00Z,3159330,Assassin's Creed Shadows,6537
2025-05-19T00:00:00Z,1934570,South of Midnight,222
2025-05-19T00:00:00Z,3159330,Assassin's Creed Shadows,4410
2025-05-20T00:00:00Z,1934570,South of Midnight,217
2025-05-20T00:00:00Z,3159330,Assassin's Creed Shadows,4009
2025-05-21T00:00:00Z,1934570,South of Midnight,188
2025-05-21T00:00:00Z,3159330,Assassin's Creed Shadows,3922
2025-05-22T00:00:00Z,1934570,South of Midnight,180
2025-05-22T00:00:00Z,3159330,Assassin's Creed Shadows,4141
2025-05-23T00:00:00Z,1934570,South of Midnight,168
2025-05-23T00:00:00Z,3159330,Assassin's Creed Shadows,4249
2025-05-24T00:00:00Z,1934570,South of Midnight,206
2025-05-24T00:00:00Z,3159330,Assassin's Creed Shadows,5343
